mid,team,date,event_onset_s,event_class,depth,init_primary,init_floor,init_question,leader,leader_primary,leader_floor,leader_question,week
2025.01.06startup_a,startup_a,20250106,4182.0,INTERIOR_HANDOFF,18.809998462034812,S2,S1,,S2,1,0,,8
2025.01.06startup_a,startup_a,20250106,4230.0,INTERIOR_HANDOFF,43.469500946488225,S2,S2,S2,S2,1,1,1.0,8
2025.01.06startup_a,startup_a,20250106,4261.0,TRANSITION,40.88028600892123,S3,S1,S2,S2,0,0,1.0,8
2025.01.06startup_a,startup_a,20250106,4306.0,TRANSITION,11.269754321480704,S1,S2,S3,S2,0,1,0.0,8
2025.01.06startup_a,startup_a,20250106,4440.0,INTERIOR_OTHER,-3.668209726656727,S2,S3,,S2,1,0,,8
2025.01.06startup_a,startup_a,20250106,5037.0,TRANSITION,7.830458820968957,S3,S1,S1,S2,0,0,0.0,8
2025.01.06startup_a,startup_a,20250106,5065.0,INTERIOR_HANDOFF,0.6770128963436974,S1,S2,,S2,0,1,,8
2025.01.06startup_a,startup_a,20250106,5148.0,TRANSITION,24.048559343477038,S1,S2,S2,S2,0,1,1.0,8
2025.01.06startup_a,startup_a,20250106,5221.0,TRANSITION,30.78338650161075,S2,S1,S1,S2,1,0,0.0,8
2025.01.06startup_a,startup_a,20250106,5414.0,INTERIOR_HANDOFF,11.617504811561538,S3,S1,S3,S2,0,0,0.0,8
2025.01.06startup_a,startup_a,20250106,5484.0,TRANSITION,18.976433866245614,S3,S2,,S2,0,1,,8
2025.01.06startup_a,startup_a,20250106,5546.0,TRANSITION,16.660316532403343,S3,S2,,S2,0,1,,8
2025.01.13startup_a,startup_a,20250113,536.0,TRANSITION,15.613162164072492,S4,S4,,S2,0,0,,9
2025.01.13startup_a,startup_a,20250113,597.0,TRANSITION,16.08892104559405,S3,S2,S3,S2,0,1,0.0,9
2025.01.13startup_a,startup_a,20250113,1654.0,TRANSITION,7.106726389141045,S1,S2,S1,S2,0,1,0.0,9
2025.01.13startup_a,startup_a,20250113,1680.0,INTERIOR_HANDOFF,10.72991614412308,S2,S1,S2,S2,1,0,1.0,9
